Unnamed: 0,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)","MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)","MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
MeridianLink Mortgage First Lien Loans - No Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 1 implementation,7950,,115.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 2 implementations,13200,,115.2,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 3 implementations,18425,,115.2,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 16 (15-29 Closed Loans/Month),0,,75,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) no implementation,0,,115.2,,,,,,,,,,,,
,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 1 implementation,,,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 1 implementation,7950,,115.2,,,,,,,,,,,,
MeridianLink Mortgage First Lien Loans  - 1 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 2 implementations,13200,,115.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,,,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 3 implementations,18425,,115.2,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with no implementations,0,,119.4,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 1 implementation,7950,,119.4,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 2 implementations,13200,,119.4,,,,,,,,,,,,
,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 2 implentations,MeridianLink Mortgage LOS First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 2 implementations,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 3 implementations,18425,,119.4,,,,,,,,,,,,
MeridianLink Mortgage First Lien Loans - 2 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with no implementations,0,,121.4,,,,,,,,,,,,
Mortgage Loans Setup Fee,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 1 implementation,7950,,121.4,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 2 implementations,13200,,121.4,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 3 implementations,18425,,121.4,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with no implementations,0,,123.4,,,,,,,,,,,,
,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 3 implementations,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 1 implementation,7950,,123.4,,,,,,,,,,,,
MeridianLink Mortgage First Lien Loans- 3 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 2 implementations,13200,,123.4,,,,,,,,,,,,
Mortgage Loans Setup Fee,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 3 implementations,18425,,123.4,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with no implementations,0,,125.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 1 implementation,7950,,125.8,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 2 implementations,13200,,125.8,,,,,,,,,,,,
,MeridianLink Mortgage Access Tier 17 (10-14 Closed Loans/Month),MeridianLink Mortgage Access Tier 16 (15-29 Closed Loans/Month),MeridianLink Mortgage Access Tier 15 (30-44 Closed Loans/Month),MeridianLink Mortgage Access Tier 14 (45-59 Closed Loans/Month),MeridianLink Mortgage Access Tier 13 (60-74 Closed Loans/Month),MeridianLink Mortgage Access Tier 12 (75-89 Closed Loans/Month),MeridianLink Mortgage Access Tier 11 (90-109 Closed Loans/Month),MeridianLink Mortgage Access Tier 10 (110-134 Closed Loans/Month),MeridianLink Mortgage Access Tier 09 (135-169 Closed Loans/Month),MeridianLink Mortgage Access Tier 08 (170-224 Closed Loans/Month),MeridianLink Mortgage Access Tier 07 (225-299 Closed Loans/Month),MeridianLink Mortgage Access Tier 06 (300-399 Closed Loans/Month),MeridianLink Mortgage Access Tier 05 (400-524 Closed Loans/Month),MeridianLink Mortgage Access Tier 04 (525-674 Closed Loans/Month),MeridianLink Mortgage Access Tier 03 (675-899 Closed Loans/Month),MeridianLink Mortgage Access Tier 02 (900-1199 Closed Loans/Month),MeridianLink Mortgage Access Tier 01 (>1200 Closed Loans/Month),,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 3 implementations,18425,,125.8,,,,,,,,,,,,
MeridianLink Mortgage Access Volume Plan (With Setup),10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with no implementations,0,,128.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,4800,4800,4800,4800,4800,5500,5500,5500,5500,8000,8000,10750,10750,10750,13500,13500,16000,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 1 implementation,7950,,128.8,,,,,,,,,,,,
Monthly Minimum Commitment,735,706.5,1323,1908,2481,3037.5,3591,4295.5,5157,6383.499999999999,8212.5,10635,13840,17718.75,22207.5,28844.999999999996,37200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 2 implementations,13200,,128.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,15,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 3 implementations,18425,,128.8,,,,,,,,,,,,
Per Application Fee,49,47.1,44.1,42.4,41.35,40.5,39.9,39.05,38.2,37.55,36.5,35.45,34.6,33.75,32.9,32.05,31,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with no implementations,0,,133.6,,,,,,,,,,,,
,MeridianLink Mortgage Access Tier 17 (10-14 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 16 (15-29 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 15 (30-44 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 14 (45-59 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 13 (60-74 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 12 (75-89 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 11 (90-109 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 10 (110-134 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 09 (135-169 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 08 (170-224 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 07 (225-299 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 06 (300-399 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 05 (400-524 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 04 (525-674 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 03 (675-899 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 02 (900-1199 Closed Loans/Month) without setup,MeridianLink Mortgage Access Tier 01 (>1200 Closed Loans/Month) without setup,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 1 implementation,7950,,133.6,,,,,,,,,,,,
MeridianLink Mortgage Access Volume Plan (Without Setup),10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 2 implementations,13200,,133.6,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 3 implementations,18425,,133.6,,,,,,,,,,,,
Monthly Minimum Commitment,735,706.5,1323,1908,2481,3037.5,3591,4295.5,5157,6383.499999999999,8212.5,10635,13840,17718.75,22207.5,28844.999999999996,37200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/Month) with no implementations,0,,141.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,15,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 1 implementation,7950,,141.8,,,,,,,,,,,,
Per Application Fee,49,47.1,44.1,42.4,41.35,40.5,39.9,39.05,38.2,37.55,36.5,35.45,34.6,33.75,32.9,32.05,31,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 2 implementations,13200,,141.8,,,,,,,,,,,,
,MeridianLink Insight For Mortgage Tier 17 (10-14 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 16 (15-29 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 15 (30-44 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 14 (45-59 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 13 (60-74 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 12 (75-89 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 11 (90-109 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 10 (110-134 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 09 (135-169 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 08 (170-224 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 07 (225-299 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 06 (300-399 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 05 (400-524 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 04 (525-674 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 03 (675-899 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 02 (900-1199 Closed Loans/Mon),MeridianLink Insight For Mortgage Tier 01 (1200+ Closed Loans/Mon),,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/Month) with 3 implementations,18425,,141.8,,,,,,,,,,,,
MeridianLink Insight For Mortgage,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 10 (110 - 134 Closed Loans/Month),0,,87.2,,,,,,,,,,,,
MeridianLink Insight for Mortgage Setup Fee,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 11 (90 - 109 Closed Loans/Month),0,,88.4,,,,,,,,,,,,
MeridianLink Insight for Mortgage Annual Fee,5000,5000,5000,5000,6800,8300,9700,11600,13900,17100,21900,28300,36500,46500,58200,75200,97100,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 12 (75 - 89 Closed Loans/Month),0,,89.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 13 (60 - 74 Closed Loans/Month),0,,91.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 14 (45 - 59 Closed Loans/Month),0,,93.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 15 (30 - 44 Closed Loans/Month),0,,96.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 16 (15-29 Closed Loans/Month),0,,101.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 1 implementation,7950,,119.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 2 implementations,13200,,119.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 3 implementations,18425,,119.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 1 implementation,7950,,121.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 2 implementations,13200,,121.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 3 implementations,18425,,121.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 1 implementation,7950,,123.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 2 implementations,13200,,123.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 3 implementations,18425,,123.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 1 implementation,7950,,125.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 2 implementations,13200,,125.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 3 implementations,18425,,125.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 1 implementation,7950,,128.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 2 implementations,13200,,128.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 3 implementations,18425,,128.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 1 implementation,7950,,133.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 2 implementations,13200,,133.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 3 implementations,18425,,133.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 1 implementation,7950,,141.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 2 implementations,13200,,141.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 3 implementations,18425,,141.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 1 implementation,7950,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 2 implementations,13200,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 3 implementations,18425,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with no implementations,0,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 17 (10-14 Closed Loans/Month),0,,78.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) no implementation,0,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 1 implementation,7950,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 2 implementations,13200,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 3 implementations,18425,,120.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 1 implementation,7950,,147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 2 implementations,13200,,147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 3 implementations,18425,,147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with no implementations,0,,147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 17 (10-14 Closed Loans/Month),0,,105,,,,,,,,,,,,
